objectid,filename,parentid,title,format,scope,subject,description,object classification,location,size,origin,type,teacher/center,Buddhism ,latitude,longitude,youtube id
center_1001,center_1001.jpg,center_1006,Mahakala,image/jpeg,object,Buddhist Center Düsseldorf,An image depicting warrior deities (Mahakala) on the laying body of demon with wearing crown of five skulls and long garland with demon heads holding fire bowl on the left and vajra on the right hand. ,clay statue,"Volmerswerther Str.3,40221, Düsseldorf",3 inches,"Tibet,Nepal",stone statue,16th Karmapa,"Mahayana,Tibet",,,https://youtu.be/E5M8SIdkdbg
center_1002,center_1002.jpg,center_1006,White Bhairab,image/jpeg,object,Buddhist Center Düsseldorf,A statue of warrior deity (White Bhairab) with wearing crown of five skulls and long garland with demon heads.,clay stutue,"Volmerswerther Str.3,40221, Düsseldorf",3 inches,"Tibet,Nepal",clay statue,,"Mahayana,Tibet",,,
center_1003,center_1003.jpg,center_1006,Sitatapatra,image/jpeg,object,Buddhist Center Düsseldorf,"A sitting statue of Dukar or chatra Tara hold parasol(Umbralla) from right hand and lotus in other hand. Wearing long necklace, big earrings and crown.",sitting posture statue,"Volmerswerther Str.3,40221, Düsseldorf",5ft ,"Tibet,Nepal",Brass ,,"Mahayana,Tibet",,,
center_1004,center_1004.jpg,center_1006,Maitreya ,image/jpeg,object,Buddhist Center Düsseldorf,"A statue of seated Bodhisattva Maitreya on lotus base seat in dharmacakra mudrasana, wearing a royal garment, crown and necklace. The left side holds the stem of lotus with water pot (Kalasa) and on the right side dharma wheel symbol in lotus stem. Lower side with cloud decoration in both side.",,"Volmerswerther Str.3,40221, Düsseldorf",,"Tibet,Nepal",,,"Mahayana,Tibet",,,
center_1005,center_1005.jpg,center_1006,Budhha Shakyamuni with two chief disciples,image/jpeg,object,Buddhist Center Düsseldorf,The painting of Shakyamuni Buddha in cross leg sitting position with bowl in lotus Asana with two disciples Sariputta in the right and Mogallana in the left on the below register Bhairab associated with other two protective deities in left and right,,"Volmerswerther Str.3,40221, Düsseldorf",,"Tibet,Nepal",,,"Mahayana,Tibet",,,
center_1006,center_1006.jpg,center_1006,An arrangement of pictures in hall,image/jpeg,display,Buddhist Center Düsseldorf,"In the centre of hall, Upper register right side,Thaye Dorje,17th Gyalwa Karmapa, Middle The 16th Gyalwa Karmapa Rangjung Rigpe Dorje, Left Side:Lama Ole Nydahl Middle register top layer karmapa in center left vajra right bell with vajra handle, below layer, Tara, shakyamuni Buddha and Maitreya Boddhisattva 
left register right to left thangka of Milarepa, Karmapa and Kurukulle",,"Volmerswerther Str.3,40221, Düsseldorf",,"Tibet,Nepal",,,"Mahayana,Tibet",,,
center_2007,center_2007.jpg,center_2008,The entrance gate ofJapanese cultural center,image/jpeg,display,Eko-haus der Japanischen Kultur e.V. Düsseldorf,A traditional main entrance gate of Japanese temple.,,"Brüggerner Weg 6, 40547, Düsseldorf",,"Tibet,Nepal",,,"Mahayana,Tibet",,,
center_2008,center_2008.jpg,center_2008,A view of Japanese temple,image/jpeg,display,Eko-haus der Japanischen Kultur e.V. Düsseldorf,"A traditional Japanese temple, shine in upper height, big bell in front of shine hall, Japanese a pond with bridge Japanese architecture.",,"Brüggerner Weg 6, 40547, Düsseldorf",,"Tibet,Nepal",,,"Mahayana,Japan",51.2396124,6.745503452,
center_2009,center_2009.jpg,center_2008,A crown Prince Shōtoku,image/jpeg,object,Eko-haus der Japanischen Kultur e.V. Düsseldorf,A standing statue of crown prince Shōtoku with holding a book in his hand with traditional Japanese attire.,,"Brüggerner Weg 6, 40547, Düsseldorf",2ft,"Tibet,Nepal",stone ,,"Mahayana,Japan",,,https://www.youtube.com/watch?v=mpJ3MF9nnpA
center_2010,center_2010.jpg,center_2008,Amitabha Buddha,image/jpeg,object,Eko-haus der Japanischen Kultur e.V. Düsseldorf,A depiction of standing Amitabha Buddha on a lotus with halo and radiant circle from body (Prabhamandal). The right hand in varada mudra and left hand down.,Standing statue,"Volmerswerther Str.3,40221, Düsseldorf",7ft,Japan,wooden,BDK (Numata),"Mahayana,Japan",,,
