objectid,filename,title,format,scope,subject,description,object classification,location,size,origin,type,teacher/center,Buddhism ,latitude,longitude,youtube id
center_1001,center_1001.JPG,Mahakala,image/jpeg,object,Buddhist Center Düsseldorf,Image dipicting dancing Mahakala on the demon body with wearing crown of five skulls and long garland with demon heads holding fire bowl on the left and vajra on the right hand. Protector of Karma kagyu school.,Preforming statue,"Volmerswerther Str.3,40221, Düsseldorf",3 inches,"Tibet,Nepal",stone statue,16th Karmapa,Tibetian Mahayana,51.210666,6.7626613,https://youtu.be/E5M8SIdkdbg
center_1002,center_1002.JPG,Swetabhairab (white Bhairab),image/jpeg,object,Buddhist Center Düsseldorf,Statue of  dancing sweta bhairab with wearing crown of five skulls and long garland with demon ,Standing stutue,"Volmerswerther Str.3,40221, Düsseldorf",3 inches,"Tibet,Nepal",clay statue,,,,,
center_1003,center_1003.JPG,Dukar (Sitatapatra),image/jpeg,object,Buddhist Center Düsseldorf,"Sitting statue of Dukar or chatra Tara hold parasol(Umbralla) from right hand and lotus in other hand. wearing long necklace, big earings and crown. Specially worship in Tibet tradition mahayan buddhism.",sitting posture statue,"Volmerswerther Str.3,40221, Düsseldorf",5ft ,thailand,Brass ,,,,,
center_1004,center_1004.JPG,Maitreya Buddha,image/jpeg,object,Buddhist Center Düsseldorf,"Statue of seated bodhisattva Maitreya on lotus base in dharmacakra mudrasana, wearing a royal garment ,crown and necklace.the left side holds stem of lotus with water pot (Kalasa) and in the right side dharma wheele symbol in lotus stem. Lower side with cloud decoration in both side.",,"Volmerswerther Str.3,40221, Düsseldorf",,,,,,,,
center_1005,center_1005.JPG,Shakyamuni Buddha with two disciples,image/jpeg,object,Buddhist Center Düsseldorf,The painting of Shakyamuni Buddha in cross leg sitting position with bowl in lotus asana with two disciples Sariputta in the right and Mogallana in the left on the below register bhairawa associated with other two protective deities in left and right,,"Volmerswerther Str.3,40221, Düsseldorf",,,,,,,,
center_1006,center_1006.JPG,arrangement of pictures in hall,image/jpeg,display,Buddhist Center Düsseldorf,"In the centre of hall, Upper register right side,Thaye Dorje,17th Gyalwa Karmapa, Middle The 16th Gyalwa Karmapa Rangjung Rigpe Dorje, Left Side:Lama Ole Nydahl Middle register top layer karmapa in center left vajra right bell with vajra handle, below layer, Tara, shakyamuni Buddha and Maitreya Boddhisattva Left register right to left thangka of Milarepa,Karmapa and Kurukulle",,"Volmerswerther Str.3,40221, Düsseldorf",,,,,,,,
center_2007,center_2007.JPG,Japanese Entrace gate,image/jpeg,object,Eko-haus der Japanischen Kultur e.V. Düsseldorf,Japanese Traditional Main entrance gate for temple.,,"Brüggerner Weg 6, 40547, Düsseldorf",,,,,,,,
center_2008,center_2008.JPG,View of Japanese temple,image/jpeg,object,Eko-haus der Japanischen Kultur e.V. Düsseldorf,"Traditional looks Japense temple with shine in upper height, big bell in front of shine hall, japanese style pond with bridge",,"Brüggerner Weg 6, 40547, Düsseldorf",,,,,,51.2396124,6.745503452,
center_2009,center_2009.JPG,Crown Prince Shōtoku,image/jpeg,object,Eko-haus der Japanischen Kultur e.V. Düsseldorf,"Standing statue of Prince Shōtoku with holding book in his hand who had promoted Buddhism and Confucianism in Shintō milieu and brought new political, religious, and artistic institutions to Japan.",,"Brüggerner Weg 6, 40547, Düsseldorf",2ft,,stone ,,,,,https://www.youtube.com/watch?v=mpJ3MF9nnpA
center_2010,center_2010.JPG,Amitabha Buddha,image/jpeg,object,Eko-haus der Japanischen Kultur e.V. Düsseldorf,Depiction of standing Amitabha Buddha on a lotus with halo and Radiant circle from body (Prabhamandal). The right hand in varada mudra and left hand down.,Standing statue,"Volmerswerther Str.3,40221, Düsseldorf",7ft,Japan,wooden,BDK (Numata),Japanese Mahayana,,,
center_2011,center_2011.JPG,Jodo Shinshu,image/jpeg,object,Eko-haus der Japanischen Kultur e.V. Düsseldorf,"Upper register  Nagarjuna and Vasabandhu (India), middle register from China:T'an Luan (Donran) Tao ch'o(Doshaku) and Shan Tao(Zendo) lower register Japan:Genshin and Honen",Painting ,"Brüggerner Weg 6, 40547, Düsseldorf",,,cloth,,,,,
center_2012,center_2012.JPG,Hōnen Shōnin,image/jpeg,object,Eko-haus der Japanischen Kultur e.V. Düsseldorf,"Golden Decorated frame picture of sitting Hōnen on a mat with japanese tradition robe,religious reformer and founder of the first independent branch of Japanese Pure Land Buddhism called Jōdo-shū",Painting ,"Brüggerner Weg 6, 40547, Düsseldorf",,,cloth,,,,,
center_2013,center_2013.JPG,Praying hall arrangement,image/jpeg,display,Eko-haus der Japanischen Kultur e.V. Düsseldorf,Arrangement of praying hall with stage with sitting chair arrangement displaying praying books and incense burning place. traditional japanese style.,,"Brüggerner Weg 6, 40547, Düsseldorf",,,,,,,,
center_3014,center_3014.JPG,Main Entrance of Thai temple,image/jpeg,object,Wat Buddhasamakkee Germany,A entrance door on the center Buddha Head with halo and both side with clouds,,"Markusstraße 44,47055, Duisburg",,,,Wat saket,Thai Theravada,51.4045055,6.760096162,
center_3015,center_3015.JPG,Emerald Buddha (Jeda Buddha),image/jpeg,object,Wat Buddhasamakkee Germany,Statue of meditating Buddha made up with green emerald stone with crown and jewelleries. the sitting position with cross leg and right palm on the top of left palm. (Samadi Asana).,,"Markusstraße 44,47055, Duisburg",,,,,,,,
center_3016,center_3016.JPG, The Auspious Foot print mark of Lord Buddha,image/jpeg,object,Wat Buddhasamakkee Germany,Panal dipicting the auspicious foot print mark of Buddha with side by side decoration of bodhi tree leaves design frame.,,"Markusstraße 44,47055, Duisburg",,,,,,,,
center_3017,center_3017.JPG,Shakyamuni Buddha,image/jpeg,object,Wat Buddhasamakkee Germany,Statue of Sitting Buddha in meditation position with yellow cloth on the body.,sitting posture statue,"Volmerswerther Str.3,40221, Düsseldorf",5ft ,Thailand,Brass statue,Wat saket,Thai Theravada,,,
center_3018,center_3018.JPG,Phra pratarnporn,image/jpeg,object,Wat Buddhasamakkee Germany,Statue of meditating Buddha made up with silver  the sitting position with cross leg and right palm on the top of left palm. (Samadi Asana). traditational art from Luang phor Pae with craving asana with protective deities and lotus base.,,"Markusstraße 44,47055, Duisburg",,,,,,,,
